,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Lukovetskiy,20,RU,1554622200,56,64.29,41.92,44.6,2.24
375,Sorong,64,ID,1554625064,95,-0.86,131.25,85.46,5.75
376,Kavaratti,0,IN,1554625065,100,10.57,72.64,84.56,10.33
377,Wynyard,36,CA,1554625065,81,51.77,-104.18,35.96,9.78
378,Caceres,44,CO,1554625008,96,5.53,-74.53,64.31,1.16
379,Mersing,0,MY,1554625065,65,2.43,103.84,88.52,9.89
380,Xinzhou,12,CN,1554625065,51,38.41,112.73,65.03,2.95
381,Aykhal,68,RU,1554625066,80,65.95,111.51,31.01,9.89
382,Pitimbu,0,BR,1554620400,100,-7.47,-34.81,75.2,3.36
383,Beringovskiy,68,RU,1554625066,85,63.05,179.32,15.08,25.32
384,San Jose,36,PH,1554625067,73,15.79,120.99,82.22,0.94
385,Lata,24,IN,1554625067,82,30.78,78.62,58.28,0.94
386,Omsukchan,12,RU,1554625068,78,62.53,155.8,17.96,3.06
387,Arcachon,0,FR,1554624653,93,44.65,-1.18,50.0,1.12
388,Carupano,32,VE,1554625068,86,10.67,-63.26,76.64,12.46
389,Jiazi,20,CN,1554620400,66,19.61,110.49,87.8,8.95
390,Penha,92,BR,1554625054,66,-26.78,-48.65,72.0,11.23
391,Cap Malheureux,75,MU,1554624839,58,-19.98,57.61,86.0,12.75
392,Dubuque,1,US,1554625025,81,42.5,-90.66,55.99,14.99
393,Moose Factory,1,CA,1554620400,84,51.26,-80.61,5.0,2.24
394,Chalmette,90,US,1554624822,100,29.94,-89.96,73.0,6.93
395,Irving,90,US,1554624983,93,32.83,-96.94,63.0,3.36
396,Novikovo,24,UA,1554625069,74,45.05,34.56,62.06,3.85
397,Derzhavinsk,8,KZ,1554625070,78,51.1,66.31,50.72,11.45
398,Kodinsk,76,RU,1554625070,40,58.6,99.18,43.16,5.64
399,Malappuram,20,IN,1554622200,56,11.04,76.08,95.0,8.05
400,Tazovskiy,92,RU,1554625070,98,67.47,78.7,27.5,21.52
401,Xuddur,0,SO,1554625070,42,4.12,43.89,90.5,10.78
402,Camacha,40,PT,1554624492,82,33.08,-16.33,60.8,11.41
403,Kulhudhuffushi,12,MV,1554625071,100,6.62,73.07,85.37,4.74
404,Sechura,8,PE,1554625071,93,-5.56,-80.82,68.9,4.74
405,Bonavista,92,CA,1554624960,87,48.65,-53.11,30.99,6.87
406,Ahipara,32,NZ,1554625072,97,-35.17,173.16,57.56,9.55
407,Fort Nelson,90,CA,1554620400,86,58.81,-122.69,28.4,4.7
408,Shemgang,92,BT,1554625072,99,27.22,90.66,55.58,1.83
409,Tilaran,12,CR,1554625024,91,10.47,-84.97,70.0,20.0
410,Saint-Georges,36,CA,1554624125,96,46.12,-70.67,33.01,5.99
411,Goderich,44,CA,1554624949,87,43.74,-81.71,46.99,8.99
412,Quesnel,90,CA,1554620400,42,52.98,-122.49,44.6,11.41
413,Perth,75,GB,1554625044,93,56.4,-3.43,46.0,11.41
414,Gravdal,90,NO,1554624963,93,59.79,5.78,53.01,3.36
415,Ibia,56,NG,1554625073,80,5.18,6.32,86.18,9.44
416,Den Helder,75,NL,1554625066,87,52.96,4.76,57.99,9.17
417,Boa Vista,0,BR,1554624000,65,2.82,-60.67,78.8,16.11
418,Samarai,92,PG,1554625074,100,-10.62,150.67,78.35,7.76
419,Amuntai,68,ID,1554625074,62,-2.42,115.25,89.42,2.62
420,Turgenevo,36,RU,1554625075,100,54.84,46.32,35.24,9.1
421,Mindelo,20,PT,1554625024,100,41.31,-8.72,51.01,8.05
422,Kirakira,44,SB,1554625075,100,-10.46,161.92,82.94,4.18
423,Gisborne,20,NZ,1554624612,97,-38.66,178.02,57.0,10.0
424,Middelburg,0,ZA,1554625075,72,-25.77,29.46,70.16,5.08
425,Trairi,92,BR,1554625076,100,-3.28,-39.27,80.06,6.64
426,Vestmanna,12,FO,1554623400,75,62.16,-7.17,41.0,11.41
427,Gazli,92,UZ,1554625076,72,40.13,63.45,65.39,13.91
428,Le Port,56,FR,1554625068,70,42.87,1.37,45.0,1.01
429,Sydney Mines,0,CA,1554625059,87,46.24,-60.22,33.01,1.99
430,Kahului,1,US,1554625007,100,20.89,-156.47,71.01,5.82
431,Doha,0,QA,1554622200,20,25.29,51.53,95.0,11.41
432,Altea,75,ES,1554625070,66,38.6,-0.05,59.0,16.11
433,Moorhead,90,US,1554625055,100,46.87,-96.75,45.0,10.29
434,Port Blair,20,IN,1554620400,58,11.67,92.75,87.8,10.29
435,Isangel,8,VU,1554625078,100,-19.55,169.27,78.26,12.12
436,Preobrazheniye,48,RU,1554625078,53,42.9,133.91,39.65,4.63
437,Peterhead,40,AU,1554625006,52,-34.83,138.5,69.8,12.75
438,Barreirinhas,92,BR,1554625079,94,-2.75,-42.83,71.78,2.73
439,Beroroha,0,MG,1554625079,52,-21.68,45.17,91.13,5.41
440,Caxito,36,BR,1554625079,96,-22.65,-42.51,74.21,2.73
441,Mehamn,36,NO,1554625079,84,71.03,27.85,29.48,10.33
442,Turbat,8,PK,1554625080,12,26.0,63.05,106.25,9.1
443,Moerai,32,PF,1554625080,100,-22.43,-151.33,78.08,11.23
444,Shiyan,0,CN,1554625080,53,32.65,110.78,75.29,3.51
445,Sao Jose da Coroa Grande,92,BR,1554625080,93,-8.9,-35.15,77.18,1.05
446,Achacachi,64,BO,1554625081,99,-16.04,-68.68,31.46,1.95
447,Kalianget,40,ID,1554622200,59,-7.35,109.91,89.6,9.17
448,Airai,76,TL,1554624929,78,-8.93,125.41,76.28,1.05
449,Otane,64,NZ,1554624017,88,-39.89,176.62,50.0,2.17
450,Linhares,8,BR,1554625081,92,-19.38,-40.06,72.86,2.84
451,Nanhai,0,CN,1554625082,43,30.13,111.78,84.29,7.31
452,Banda Aceh,68,ID,1554625082,100,5.56,95.32,77.81,1.72
453,Erzin,75,TR,1554625077,63,36.95,36.2,68.0,17.22
454,Channel-Port aux Basques,48,CA,1554625082,92,47.57,-59.14,29.84,11.68
455,Baraki Barak,88,AF,1554625083,91,33.97,68.95,39.38,1.61
456,Tucuman,8,PE,1554625083,84,-17.17,-70.89,47.57,2.39
457,Farsund,0,NO,1554624991,68,58.09,6.8,48.99,11.01
458,Mount Gambier,75,AU,1554620820,72,-37.83,140.78,62.6,18.34
459,Vetluzhskiy,92,RU,1554625084,98,58.39,45.47,36.5,4.97
460,Baruun-Urt,56,MN,1554625041,30,46.68,113.28,35.69,9.1
461,Coquimbo,90,CL,1554620400,100,-29.95,-71.34,55.4,4.7
462,Ruswil,75,CH,1554625081,75,47.08,8.13,51.01,1.12
463,Ribeira Grande,75,PT,1554624000,76,38.52,-28.7,51.8,18.34
464,Kansk,56,RU,1554625084,36,56.21,95.71,49.01,10.0
465,Willmar,75,US,1554624961,93,45.12,-95.04,48.2,3.36
466,Lavrentiya,20,RU,1554625085,84,65.58,-170.99,13.91,31.25
467,Bafoulabe,0,ML,1554625085,26,13.81,-10.83,85.82,13.58
468,Umtata,40,ZA,1554624000,68,-31.59,28.78,66.2,3.36
469,Chapleau,92,CA,1554625085,86,47.85,-83.4,32.18,3.62
470,Altus,1,US,1554624961,100,34.64,-99.33,64.99,5.82
471,Pimentel,80,BR,1554625086,97,-3.7,-45.5,71.42,2.62
472,Jalu,0,LY,1554625086,66,29.03,21.55,71.96,6.42
473,Dirba,24,NG,1554625086,28,10.1,13.23,97.88,6.64
474,Kungurtug,88,RU,1554625087,71,50.6,97.53,29.66,7.43
475,Santa Isabel do Rio Negro,92,BR,1554625087,97,-0.41,-65.02,74.75,2.62
476,Shitanjing,64,CN,1554625087,17,39.23,106.34,65.84,4.97
477,Hailar,92,CN,1554625087,44,49.2,119.7,37.04,9.78
478,Comodoro Rivadavia,0,AR,1554620400,36,-45.87,-67.48,64.4,8.05
479,Sur,44,OM,1554625088,71,22.57,59.53,86.36,2.95
480,Flin Flon,88,CA,1554625088,79,54.77,-101.88,29.39,11.68
481,Esqueda,0,MX,1554625088,75,30.72,-109.59,41.54,2.62
482,Altamira,92,BR,1554624959,95,-3.2,-52.21,74.66,2.84
483,Dillon,90,US,1554624911,64,45.22,-112.64,41.0,9.17
484,Svobodnyy,8,RU,1554624911,55,53.85,40.53,41.0,3.0
485,Tadine,100,NC,1554625089,99,-21.55,167.88,76.91,13.35
486,Emerald,0,AU,1554624606,39,-23.53,148.16,84.2,11.41
487,Giyani,88,ZA,1554625090,75,-23.32,30.73,71.78,4.41
488,Atar,0,MR,1554625090,46,20.52,-13.05,62.06,6.2
489,Lincoln,68,GB,1554625024,93,53.23,-0.54,48.2,10.29
490,Yabelo,0,ET,1554625091,23,4.89,38.09,90.5,10.78
491,Dourbali,8,TD,1554625091,16,11.81,15.86,105.26,5.19
492,Chernaya Kholunitsa,80,RU,1554625091,89,58.85,51.72,44.06,15.93
493,Prince Rupert,75,CA,1554621780,87,54.32,-130.32,42.8,14.99
494,Severo-Yeniseyskiy,12,RU,1554625091,54,60.37,93.04,30.65,5.75
495,Rocha,68,UY,1554625092,87,-34.48,-54.34,50.36,2.73
496,Lluta,0,PE,1554624000,76,-16.02,-72.01,50.0,4.7
497,Bay Roberts,90,CA,1554624983,96,47.58,-53.28,32.0,6.76
498,Benalla,0,AU,1554625044,23,-36.55,145.99,77.0,9.17
499,Sibolga,92,ID,1554625093,100,1.74,98.78,72.59,0.6
500,Abeche,0,TD,1554625093,14,13.83,20.83,101.84,7.65
501,Rajpur,12,IN,1554625093,32,26.3,79.68,97.34,13.47
502,Isla Vista,1,US,1554625033,87,34.41,-119.86,59.0,3.36
503,Porto Novo,90,BR,1554620400,100,-23.68,-45.44,71.6,1.12
504,Kotovo,12,RU,1554625094,77,50.32,44.8,52.88,10.78
505,Hof,0,DE,1554625087,66,50.32,11.92,60.01,11.41
506,Pasni,0,PK,1554625095,68,25.26,63.48,85.01,15.48
507,Fergus Falls,40,US,1554624927,100,46.28,-96.08,48.99,9.17
508,Nishihara,20,JP,1554625058,42,35.74,139.53,71.01,9.17
509,Mishkino,90,RU,1554622200,100,56.22,46.62,37.4,6.71
510,Mago,92,RU,1554625096,79,53.27,140.15,33.08,5.64
511,Labuhan,36,ID,1554625096,100,-2.54,115.51,78.26,1.72
512,Margate,0,AU,1554625094,48,-43.03,147.26,64.99,18.34
513,Katherine,90,AU,1554622200,58,-14.47,132.26,84.2,12.75
514,Mitu,88,IR,1554625097,62,36.2,46.09,53.06,3.4
515,Petersburg,75,US,1554625055,100,37.23,-77.4,54.0,2.51
516,Mokhsogollokh,0,RU,1554625098,56,61.4,128.95,34.43,7.43
517,Linjiang,80,CN,1554625098,35,41.81,126.91,40.19,6.76
518,Soyo,88,AO,1554625098,77,-6.13,12.37,85.19,3.51
519,Khash,0,IR,1554625098,22,28.22,61.21,82.58,7.76
520,Trelew,8,AR,1554625098,81,-43.25,-65.31,51.17,3.06
521,Petrovsk,24,RU,1554625099,100,52.31,45.39,33.89,4.29
522,Marzuq,0,YE,1554625099,16,14.4,46.47,90.23,3.74
523,Galveston,1,US,1554625085,87,40.58,-86.19,54.0,8.05
524,Burns Lake,0,CA,1554625099,58,54.23,-125.76,35.15,5.3
525,Mercedes,0,UY,1554625100,90,-33.25,-58.03,49.01,3.29
526,Dargaville,88,NZ,1554625100,73,-35.94,173.86,56.84,9.33
527,Isiro,68,CD,1554625100,94,2.77,27.62,74.03,1.61
528,Maryville,90,US,1554624934,93,40.35,-94.87,57.2,3.36
529,Kenai,90,US,1554625023,69,60.55,-151.26,37.99,12.75
530,Lakes Entrance,12,AU,1554625030,65,-37.88,147.99,70.0,5.41
531,Havre-Saint-Pierre,20,CA,1554620400,92,50.23,-63.6,17.6,4.7
532,Umm Lajj,76,SA,1554625101,54,25.02,37.27,81.14,3.18
533,Batemans Bay,8,AU,1554624386,86,-35.71,150.18,70.0,1.01
534,Arlit,0,NE,1554625101,31,18.74,7.39,81.68,8.43
535,Padang,20,ID,1554620400,74,-0.92,100.36,87.8,4.7
536,Aracaju,40,BR,1554620400,88,-10.92,-37.08,77.0,3.36
537,Kununurra,75,AU,1554622200,41,-15.77,128.74,95.0,10.29
538,Bonthe,68,SL,1554625102,78,7.53,-12.5,83.3,3.85
539,Chai Badan,32,TH,1554624591,45,15.2,101.13,96.01,3.51
540,Puerto Carreno,0,CO,1554624986,60,6.19,-67.49,68.99,4.07
541,Yazoo City,90,US,1554625084,100,32.86,-90.41,64.99,15.03
542,Ayolas,56,PY,1554625103,98,-27.39,-56.84,62.24,8.66
543,Copiapo,0,CL,1554620400,87,-27.37,-70.33,59.0,2.24
544,Chipinge,8,ZW,1554624989,60,-20.19,32.62,80.33,7.76
545,Mastung,0,PK,1554625104,21,29.8,66.85,76.19,11.68
546,Ciudad Bolivar,68,VE,1554624877,72,8.12,-63.55,77.09,12.24
547,Neiafu,12,TO,1554625104,95,-18.65,-173.98,83.66,10.67
548,Tautira,20,PF,1554624147,74,-17.73,-149.15,84.2,3.36
549,Ostrovnoy,68,RU,1554625104,100,68.05,39.51,32.54,4.74
550,Ankang,0,CN,1554625105,27,32.73,108.99,80.15,3.4
551,Calatayud,0,ES,1554624969,43,41.35,-1.64,50.0,14.99
552,Kushima,20,JP,1554624150,73,31.5,131.29,71.6,11.41
553,Lokoja,12,NG,1554625105,74,7.8,6.74,86.09,12.01
554,Sokolka,20,RU,1554625105,99,52.46,43.89,33.26,2.62
555,Lamu,32,ID,1554625106,96,0.57,122.3,78.44,1.5
556,Sola,0,FI,1554625027,35,62.78,29.36,46.0,5.82
557,Methoni,40,GR,1554624932,77,36.82,21.7,66.0,6.93
558,Cairns,88,AU,1554624378,69,-16.92,145.77,78.8,13.87
559,Havelock,75,US,1554624992,100,34.88,-76.9,57.2,5.82
560,Coihaique,20,CL,1554620400,81,-45.58,-72.07,51.8,2.24
561,Hofn,88,IS,1554624991,100,64.25,-15.21,35.96,15.82
562,Melilla,75,EC,1554620400,83,-0.8,-80.23,75.2,3.36
563,Tortoli,20,IT,1554620100,66,39.93,9.66,51.8,5.82
